r_0,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_11,r_12,r_13,r_14,r_15,r_16,r_17,r_18,r_19,r_20,r_21,r_22,r_23,r_24,r_25,r_26,r_27,r_28,r_29,r_30,r_31,r_32,r_33,r_34,r_35,r_36,r_37
0.5695315,0.5792559,0.5764416,0.5830292,0.5818893,0.5764271,0.5812294,0.5762013,0.5824562,0.5770515,0.57676,0.5772453,0.5803518,0.5730718,0.5727877,0.5842979,0.5746516,0.5800962,0.5762791,0.5794302,0.580334,0.5742133,0.5751611,0.5861989,0.5735005,0.57927,0.5804432,0.5799893,0.5805639,0.5704766,0.5805902,0.5729093,0.5778232,0.5683336,0.5722758,0.5742488,0.5754365,0.5766538
0.5695315,0.5793279,0.5764416,0.5830292,0.5818893,0.5778019,0.5816733,0.5762013,0.5824562,0.5770515,0.5783121,0.5777671,0.5803518,0.5730718,0.5727877,0.5848234,0.5746516,0.5800962,0.5762791,0.5794777,0.580334,0.5742133,0.5751611,0.5861989,0.5735005,0.5796178,0.5806047,0.5812207,0.5809723,0.5704766,0.5805902,0.5729756,0.5816572,0.5687342,0.5722758,0.5742488,0.5754365,0.5766538
0.5701922,0.5793279,0.5770814,0.5840981,0.5829361,0.5782802,0.5826798,0.576858,0.583326,0.5773879,0.5784783,0.5777671,0.5803972,0.5754643,0.574215,0.5848234,0.574925,0.5820681,0.5772151,0.5794777,0.58035,0.5775107,0.5752155,0.5877399,0.5745229,0.5796178,0.5806047,0.5812207,0.5809723,0.5714096,0.5811665,0.5729756,0.5816572,0.5687342,0.5738249,0.5744416,0.5779771,0.5775033
0.5701922,0.5802366,0.5770814,0.5840981,0.5829361,0.5782802,0.5828172,0.576858,0.583326,0.5773879,0.5784783,0.578275,0.5803972,0.5754643,0.574215,0.5848402,0.574925,0.5820681,0.5772151,0.5809862,0.58035,0.5775107,0.5752155,0.5877399,0.5745229,0.5820441,0.5808751,0.5812781,0.5810121,0.5731744,0.5811665,0.5758431,0.5818951,0.5699894,0.5738249,0.5765534,0.5779771,0.5775033
0.5710668,0.5825438,0.5775012,0.5846752,0.5845537,0.5783084,0.5828172,0.577838,0.5833316,0.5774791,0.5803784,0.578275,0.5804716,0.5755833,0.5764142,0.5848402,0.5750186,0.5830236,0.5778297,0.5809862,0.582766,0.5792226,0.5755277,0.5884988,0.5747937,0.5826788,0.5808751,0.5812781,0.5812519,0.5731744,0.5812396,0.5758431,0.5818951,0.5699894,0.5760823,0.5772557,0.5780762,0.5778388
0.5710668,0.5825438,0.5775012,0.5847535,0.5845537,0.5783084,0.583102,0.5787987,0.5833316,0.5774791,0.5803784,0.5789128,0.5804716,0.5755833,0.5764142,0.5851704,0.5750186,0.5840445,0.5778297,0.5810052,0.582766,0.5792226,0.5755277,0.5884988,0.5747937,0.5826788,0.5813426,0.581288,0.5812519,0.5733285,0.5812396,0.5759137,0.58192,0.5703923,0.5772191,0.5772557,0.5781053,0.5801448
0.5711123,0.5828963,0.578053,0.5847535,0.5846289,0.579232,0.583102,0.5787987,0.5837191,0.5777203,0.5808247,0.5789128,0.5808137,0.5765896,0.5768075,0.5851704,0.5757496,0.5840445,0.5788864,0.5810052,0.5840823,0.5795045,0.5755843,0.5901438,0.5760193,0.5828509,0.5820222,0.581288,0.5815651,0.5733285,0.5813434,0.5759137,0.58192,0.5703923,0.5772662,0.577337,0.5781053,0.5822698
0.5711123,0.5831352,0.578053,0.584917,0.5846289,0.5795611,0.5835854,0.5788225,0.5837191,0.5777203,0.5808247,0.5800947,0.5808137,0.5765896,0.5768075,0.5863349,0.5761441,0.5859961,0.5794678,0.5819791,0.5840823,0.5795045,0.5755843,0.5901438,0.5762823,0.5828509,0.5820222,0.581925,0.5815651,0.576456,0.5813434,0.5769546,0.5844312,0.5704103,0.5777631,0.577337,0.5781073,0.5822698
0.5711806,0.5831352,0.5793001,0.584917,0.585533,0.5795611,0.5835854,0.5788225,0.5838955,0.5797469,0.5811369,0.5800947,0.5846759,0.5768269,0.5774012,0.5880806,0.5761441,0.5865227,0.5794678,0.5821691,0.5841534,0.5799251,0.5756546,0.5903918,0.5762823,0.5829716,0.5826361,0.581925,0.581674,0.576456,0.581687,0.5769546,0.5844312,0.5704103,0.5777631,0.5774646,0.5781073,0.5831783
0.5711806,0.5831952,0.5793001,0.5854576,0.5855423,0.5816447,0.5854483,0.5790466,0.5838955,0.5797469,0.5811369,0.5806379,0.5846759,0.5768269,0.5774012,0.5880806,0.576632,0.5865227,0.5795677,0.5830298,0.5841534,0.5799251,0.5756546,0.5903918,0.5765482,0.5829716,0.5828103,0.5820032,0.581674,0.5796556,0.581687,0.577329,0.585069,0.5729326,0.5777773,0.5774646,0.5791976,0.5831783
